categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19181799.61,9/15/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,21294282.57,8/30/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2588656966,9/30/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2707772366,9/27/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1781859434,9/4/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,235615.83,9/5/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2643824227,9/15/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17590193.6,10/21/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19416345.44,9/5/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1858344894,9/1/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,891375.58,8/26/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4992180816,10/14/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,23278.25,10/10/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4483787894,10/5/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1323278.25,10/4/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3826669564,10/13/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4360765335,9/12/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17571519.9,10/17/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4956463605,9/28/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16039558.26,9/18/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3239672983,10/6/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/24/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,513672.25,9/14/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2865409043,9/20/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4523810910,9/15/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4594011988,10/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,20937145.44,9/7/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16279007.25,9/28/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4726403060,10/11/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,476196.25,9/27/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/21/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4999979062,10/16/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4674313366,9/23/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,576196.25,9/26/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2942018538,9/22/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,24418.21,10/15/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4509654895,9/14/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3838399325,10/21/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18075534.84,9/13/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5062756880,9/30/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3759613138,10/11/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17869993.46,10/9/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1719385081,8/27/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,27811708.15,8/28/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,27663245.52,8/25/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,23278.25,10/12/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/19/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2840384121,9/25/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2686201458,9/28/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19015472.18,9/10/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4913862791,10/13/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4613131111,9/20/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15724869.46,10/6/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19423445.44,9/4/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1999105411,9/6/2018,0
